#"Progress (%)"	"Step"	"Time (ps)"	"Potential Energy (kJ/mole)"	"Kinetic Energy (kJ/mole)"	"Total Energy (kJ/mole)"	"Temperature (K)"	"Box Volume (nm^3)"	"Density (g/mL)"	"Speed (ns/day)"	"Elapsed Time (s)"	"Time Remaining"
0.2%	5000	10.000000000000009	-4660198.152892232	180251.09543764978	-4479947.057454582	299.3950843301979	642.2449954642908	0.9789878142098153	0	0.0008153915405273438	--
0.4%	10000	19.999999999999794	-4684226.139859313	182115.03658975087	-4502111.103269562	302.4910700553602	630.6879279392263	0.9969273176850243	102	8.465104818344116	1:10:15
0.6%	15000	29.99999999999425	-4699794.887980847	181608.41915056104	-4518186.468830286	301.64958406848666	616.8361437354761	1.0193144981569238	103	16.85847759246826	1:09:49
0.8%	20000	40.00000000000292	-4706362.884437574	182982.31589637004	-4523380.568541204	303.9316114318918	609.5221039798441	1.0315458950403715	102	25.448412895202637	1:10:07
1.0%	25000	50.00000000001514	-4718199.278848498	180446.7359389571	-4537752.542909541	299.7200410481867	601.3500945725509	1.0455640233060979	101	34.07725429534912	1:10:17
1.2%	30000	60.00000000002736	-4722458.698595494	181387.74018301556	-4541070.958412479	301.2830387338369	598.4702998650035	1.050595199859718	101	42.75598669052124	1:10:24
1.4%	35000	70.00000000001826	-4727260.8777196705	180880.91556391492	-4546379.962155756	300.4412086234132	597.3296358247015	1.0526014223766025	101	51.30042243003845	1:10:15
1.6%	40000	79.99999999999496	-4730989.715658109	180523.19725290543	-4550466.518405204	299.84704244854976	592.4704702446217	1.061234366730848	101	60.03746819496155	1:10:19
1.8%	45000	89.99999999997165	-4737982.113774578	181829.24442523633	-4556152.869349342	302.0163724176677	581.9263391559838	1.0804632510855365	101	68.76599597930908	1:10:20
2.0%	50000	99.99999999994834	-4739725.69701506	181270.76051630513	-4558454.936498755	301.08873679578403	580.4293361033267	1.083249906901415	99.2	78.42645144462585	1:11:09
2.2%	55000	109.99999999992504	-4745257.691201027	181095.7832918912	-4564161.907909135	300.79810155314055	570.3572401528651	1.102379316037548	99.1	87.18052959442139	1:11:03
2.4%	60000	119.99999999990173	-4748755.305116866	179727.69935815703	-4569027.605758709	298.5257292065724	566.1555425742022	1.1105605739333952	98.9	96.07311940193176	1:11:02
2.6%	65000	129.99999999989262	-4752180.455961774	180820.13763354637	-4571360.318328228	300.3402571504476	565.4343379482443	1.1119770804480749	98.8	104.91740703582764	1:10:57
2.8%	70000	139.99999999994037	-4752437.139678786	179949.07758539732	-4572488.062093388	298.893436003874	564.8542837367472	1.113118980239177	98.7	113.80077195167542	1:10:54
3.0%	75000	149.99999999998812	-4754398.388619547	180950.03042094494	-4573448.358198602	300.5560076397451	564.8542837367472	1.113118980239177	98.7	122.54024195671082	1:10:45
3.2%	80000	160.00000000003587	-4754679.896893531	180113.2739885926	-4574566.622904939	299.16616442120767	564.8542837367472	1.113118980239177	98.6	131.41544437408447	1:10:40
3.4%	85000	170.00000000008362	-4757394.197597438	180091.5197280888	-4577302.677869349	299.1300308341009	559.9907057586735	1.1227865352603492	98.5	140.29616355895996	1:10:35
3.6%	90000	180.00000000013137	-4759020.371743891	180347.95517422786	-4578672.416569663	299.55596728589137	557.8773540582995	1.127039876637604	98.5	149.13614630699158	1:10:28
3.8%	95000	190.0000000001791	-4760487.738410501	180922.92580439447	-4579564.8126061065	300.51098717017084	557.8773540582995	1.127039876637604	98.4	158.03852081298828	1:10:23
4.0%	100000	200.00000000022686	-4760471.423628593	180112.12209908784	-4580359.301529505	299.16425114542653	557.5840686761867	1.127632691854977	97.8	167.81903529167175	1:10:39
4.2%	105000	210.0000000002746	-4763395.684368015	179739.95567123278	-4583655.728696782	298.5460868076065	557.5840686761867	1.127632691854977	97.8	176.7745921611786	1:10:33
4.4%	110000	220.00000000032236	-4765486.890540474	181267.68784806848	-4584219.202692405	301.08363312768375	554.6323987766523	1.1336337828147203	97.7	185.73291659355164	1:10:27
4.6%	115000	230.0000000003701	-4765911.664264632	181724.48654811044	-4584187.177716522	301.8423707375103	554.0231852470829	1.13488034623744	97.7	194.55991005897522	1:10:18
4.8%	120000	240.00000000041786	-4769520.001088575	180022.6702550472	-4589497.330833528	299.0156726176511	549.8842421161842	1.1434225172139616	97.6	203.5337779521942	1:10:12
5.0%	125000	250.0000000004656	-4768554.64346635	181714.72706089795	-4586839.9164054515	301.8261603367363	549.8708235516718	1.1434504202925662	97.6	212.5324423313141	1:10:06
5.2%	130000	260.00000000051335	-4769791.17051025	180607.9520977037	-4589183.218412546	299.98781931231395	549.8708235516718	1.1434504202925662	97.6	221.41270279884338	1:09:57
5.4%	135000	270.0000000005611	-4771535.205821363	181547.66217501642	-4589987.543646347	301.54866740125277	548.6244893201358	1.1460480465900014	97.5	230.39199781417847	1:09:51
5.6%	140000	280.00000000060885	-4772458.14120567	180440.00231638085	-4592018.138889289	299.70885657524815	546.3876848381219	1.150739743490116	97.4	239.43762683868408	1:09:45
5.8%	145000	290.0000000006566	-4774509.887640256	181087.66914812464	-4593422.218492132	300.78462404970924	546.3876848381219	1.150739743490116	97.4	248.32483673095703	1:09:37
6.0%	150000	300.00000000070435	-4773815.374920658	180509.34326499086	-4593306.031655667	299.8240311272043	543.2736206408899	1.1573358256472197	97	258.3572578430176	1:09:47
6.2%	155000	310.0000000007521	-4775790.014349712	179930.6190796123	-4595859.3952701	298.8627766290574	542.6319926728306	1.1587043019703989	97	267.3169512748718	1:09:39
6.4%	160000	320.00000000079984	-4776414.947976198	180186.9454295238	-4596228.002546675	299.28853187321545	541.0579838175844	1.1620751252212544	96.9	276.3799328804016	1:09:32
6.6%	165000	330.0000000008476	-4775202.376171878	180241.46755259103	-4594960.9086192865	299.3790925191518	541.0579838175844	1.1620751252212544	96.9	285.3103082180023	1:09:23
6.8%	170000	340.00000000089534	-4778602.803999996	181625.54139760596	-4596977.26260239	301.67802393225276	540.8943195647995	1.162426746878517	96.9	294.35091638565063	1:09:16
7.0%	175000	350.0000000009431	-4778519.664193702	181070.02557371423	-4597449.638619987	300.7553182669307	540.8943195647995	1.162426746878517	96.8	303.37109088897705	1:09:09
7.2%	180000	360.00000000099084	-4778178.997558279	181551.5414855809	-4596627.456072698	301.5551108933756	540.8943195647995	1.162426746878517	96.8	312.42697620391846	1:09:01
7.4%	185000	370.0000000010386	-4779378.882139018	179726.35205657457	-4599652.530082443	298.52349135348237	540.0502489214282	1.1642435598400318	96.8	321.3453848361969	1:08:52
7.6%	190000	380.00000000108633	-4780457.0129680205	181532.72439258045	-4598924.28857544	301.52385590914355	537.4163750207103	1.1699495093958547	96.8	330.4145939350128	1:08:45
7.8%	195000	390.0000000011341	-4780786.68734336	180924.31506025433	-4599862.372283106	300.51329470885355	537.345701929602	1.1701033841695299	96.7	339.49080085754395	1:08:38
8.0%	200000	400.00000000118183	-4781443.42433876	179716.17437838452	-4601727.249960375	298.5065863421004	537.345701929602	1.1701033841695299	96.4	349.42642617225647	1:08:41
8.2%	205000	410.0000000012296	-4781921.783758524	180196.54118409898	-4601725.2425744245	299.30447031588216	537.345701929602	1.1701033841695299	96.4	358.4022147655487	1:08:32
8.4%	210000	420.00000000127733	-4781871.173437935	180764.6572912582	-4601106.516146678	300.2481049129385	537.345701929602	1.1701033841695299	96.4	367.48260402679443	1:08:25
8.6%	215000	430.0000000013251	-4783408.257645279	181251.6068455078	-4602156.650799772	301.0569227595382	537.345701929602	1.1701033841695299	96.4	376.53378033638	1:08:17
8.8%	220000	440.0000000013728	-4782827.705592642	181509.73791920158	-4601317.96767344	301.4856756300223	537.2139483169956	1.170390356144979	96.4	385.5182161331177	1:08:08
9.0%	225000	450.0000000014206	-4784450.414123551	181080.53745615634	-4603369.876667394	300.7727783878946	537.2139483169956	1.170390356144979	96.3	394.57316160202026	1:08:00
9.2%	230000	460.0000000014683	-4786099.090315813	180480.96354641585	-4605618.126769397	299.7768927272107	536.0589475426667	1.172912097035251	96.3	403.6410722732544	1:07:52
9.4%	235000	470.00000000151607	-4786425.223993715	180261.9067973188	-4606163.317196396	299.41304187953745	535.7831165592884	1.1735159337130827	96.3	412.72811102867126	1:07:44
9.6%	240000	480.0000000015638	-4785657.778689809	182381.38690103122	-4603276.391788778	302.9334749889532	535.472447801234	1.174196780578651	96.3	421.7249722480774	1:07:35
9.8%	245000	490.00000000161157	-4787259.614226121	180382.96737218436	-4606876.646853937	299.61412216109096	535.0082081741426	1.1752156596672694	96.3	430.7970337867737	1:07:27
10.0%	250000	500.0000000016593	-4785928.442466436	182383.11614933092	-4603545.326317105	302.9363472513339	535.0450896319057	1.1751346502952473	96.1	440.74970030784607	1:07:27
10.2%	255000	510.00000000170706	-4787360.933293918	179989.7190745347	-4607371.214219384	298.9609410697269	535.0450896319057	1.1751346502952473	96	449.88767671585083	1:07:19
10.4%	260000	520.0000000015274	-4787020.3209517505	179743.08948527646	-4607277.231466474	298.5512920382189	534.756488455374	1.1757688553025358	96	458.9005751609802	1:07:11
10.6%	265000	530.0000000012909	-4788506.074787543	180378.31490541957	-4608127.759882123	299.6063944650345	534.756488455374	1.1757688553025358	96	467.9797399044037	1:07:02
10.8%	270000	540.0000000010544	-4789401.90344766	180612.21938521691	-4608789.684062443	299.9949072298757	533.8144468983378	1.1778437768967331	96	477.0879521369934	1:06:54
11.0%	275000	550.000000000818	-4790068.435952405	180778.94610266367	-4609289.489849742	300.2718384713135	533.8144468983378	1.1778437768967331	96	486.18654894828796	1:06:46
11.2%	280000	560.0000000005815	-4790929.50346544	181380.40459702865	-4609549.098868411	301.270854406303	533.1330663892032	1.179349141772745	96	495.1932678222656	1:06:37
11.4%	285000	570.000000000345	-4789942.125205093	180016.3785041344	-4609925.746700958	299.005222088679	533.1330663892032	1.179349141772745	95.9	504.2807426452637	1:06:29
11.6%	290000	580.0000000001086	-4790256.985734513	179840.39960965115	-4610416.586124862	298.7129230830822	533.0616092325606	1.1795072340737107	95.9	513.4135749340057	1:06:21
11.8%	295000	589.9999999998721	-4792317.665280309	180866.4906844905	-4611451.174595818	300.4172490575574	530.9481242814845	1.1842023646804414	95.9	522.5529201030731	1:06:13
12.0%	300000	599.9999999996356	-4791452.374736183	180858.29060619787	-4610594.084129985	300.40362881782477	529.9826488800118	1.1863596395570453	95.7	532.57568526268	1:06:11
12.2%	305000	609.9999999993992	-4792431.976599348	181059.8010852287	-4611372.175514119	300.73833550416344	529.9826488800118	1.1863596395570453	95.7	541.6552927494049	1:06:03
12.4%	310000	619.9999999991627	-4792712.59107984	178577.17438390668	-4614135.416695934	296.61471989562574	529.9826488800118	1.1863596395570453	95.7	550.8175234794617	1:05:55
12.6%	315000	629.9999999989262	-4791790.212625735	179455.82377815084	-4612334.388847585	298.07414686247824	529.839691204721	1.1866797348970983	95.7	559.8366889953613	1:05:45
12.8%	320000	639.9999999986898	-4792866.534413824	181170.93134346398	-4611695.60307036	300.9229216391614	529.839691204721	1.1866797348970983	95.7	568.9763314723969	1:05:37
13.0%	325000	649.9999999984533	-4792766.066794584	180067.9177731813	-4612698.149021402	299.09082824693917	529.839691204721	1.1866797348970983	95.7	578.1059141159058	1:05:29
13.2%	330000	659.9999999982168	-4793721.657008862	181929.65989310617	-4611791.997115756	302.18316140387583	529.8714273271995	1.186608659893867	95.6	587.2561039924622	1:05:21
13.4%	335000	669.9999999979804	-4792510.325695181	180950.71555980973	-4611559.610135372	300.5571456478537	529.6911909322167	1.1870124235787762	95.6	596.4019079208374	1:05:12
13.6%	340000	679.9999999977439	-4794877.60613875	180506.56399730325	-4614371.042141447	299.8194147941846	529.6911909322167	1.1870124235787762	95.6	605.4639267921448	1:05:03
13.8%	345000	689.9999999975074	-4796019.397156266	180450.72337571342	-4615568.673780552	299.7266641367234	529.3894202241943	1.187689062676216	95.6	614.5915169715881	1:04:55
14.0%	350000	699.999999997271	-4797517.400200925	181051.42488227086	-4616465.9753186535	300.7244227233016	528.1913036340883	1.1903831433248169	95.4	624.689049243927	1:04:52
14.2%	355000	709.9999999970345	-4795576.180140214	180501.57894949467	-4615074.60119072	299.81113468467726	528.2153889917132	1.1903288647022792	95.4	633.8774380683899	1:04:44
14.4%	360000	719.999999996798	-4797035.111931561	181583.60409864062	-4615451.50783292	301.60836654054685	528.087639698091	1.190616816284957	95.4	642.9334936141968	1:04:35
14.6%	365000	729.9999999965615	-4796503.308814335	180224.4007565698	-4616278.908057765	299.3507447589254	527.399648716979	1.1921699717213652	95.4	652.0708358287811	1:04:27
14.8%	370000	739.9999999963251	-4796657.484813923	180805.53870790984	-4615851.946106013	300.3160084957503	527.2612988149484	1.1924827892923915	95.4	661.2384486198425	1:04:18
15.0%	375000	749.9999999960886	-4798862.109228531	181226.61286301422	-4617635.496365516	301.0154080298871	527.2612988149484	1.1924827892923915	95.4	670.2788047790527	1:04:09
15.2%	380000	759.9999999958521	-4797447.644819398	181149.65083595438	-4616297.993983444	300.8875749505604	527.2612988149484	1.1924827892923915	95.4	679.4447736740112	1:04:01
15.4%	385000	769.9999999956157	-4799298.02444774	180584.4304477486	-4618713.593999991	299.94875011079375	527.2505469263646	1.192507106843437	95.4	688.5929503440857	1:03:52
15.6%	390000	779.9999999953792	-4799461.881853865	180816.13232695757	-4618645.749526908	300.33360438031593	526.7771302731118	1.193578817612675	95.4	697.6455664634705	1:03:43
15.8%	395000	789.9999999951427	-4801235.051895402	180128.6769236088	-4621106.374971794	299.19174852662957	526.2159499387983	1.1948517036967539	95.3	706.7882237434387	1:03:34
16.0%	400000	799.9999999949063	-4799399.131662267	180859.07034636778	-4618540.0613159	300.40492395765926	526.3238915466344	1.1946066564623525	95.2	717.0517637729645	1:03:32
16.2%	405000	809.9999999946698	-4799356.795875429	180788.61020361408	-4618568.185671815	300.2878904365567	526.3238915466344	1.1946066564623525	95.2	726.2387719154358	1:03:23
16.4%	410000	819.9999999944333	-4799874.828672403	179843.90210571684	-4620030.926566686	298.71874069047266	526.3759121212508	1.1944885961117957	95.2	735.4088535308838	1:03:15
16.6%	415000	829.9999999941969	-4800227.812215425	180585.4443433626	-4619642.367872062	299.95043418024204	525.9564517119471	1.1954412237938077	95.2	744.4739944934845	1:03:05
16.8%	420000	839.9999999939604	-4800363.359670548	181200.60464570014	-4619162.755024848	300.9722086673694	524.9559555328918	1.1977195756518733	95.2	753.6703019142151	1:02:57
17.0%	425000	849.9999999937239	-4799474.83672283	181172.2187370117	-4618302.617985819	300.9250599856654	524.9559555328918	1.1977195756518733	95.1	762.8360111713409	1:02:48
17.2%	430000	859.9999999934874	-4800571.063873317	180374.11083378797	-4620196.953039529	299.5994115483559	524.5709408009287	1.1985986553826002	95.1	771.9280507564545	1:02:39
17.4%	435000	869.999999993251	-4800118.583390641	180417.2746326855	-4619701.308757955	299.6711061429411	524.5709408009287	1.1985986553826002	95.1	781.1245081424713	1:02:31
17.6%	440000	879.9999999930145	-4803115.047474882	180811.15542157862	-4622303.892053303	300.32533779529456	524.3454069689172	1.1991142020894074	95.1	790.3254241943359	1:02:22
17.8%	445000	889.999999992778	-4801631.794306668	180856.22934660764	-4620775.564960061	300.400205088347	524.2321422296185	1.199373280742829	95.1	799.5135312080383	1:02:14
18.0%	450000	899.9999999925416	-4802955.989763225	180977.17546099157	-4621978.814302234	300.60109525230115	523.8668164318708	1.2002096803521207	95	809.5850093364716	1:02:09
18.2%	455000	909.9999999923051	-4804036.274744189	180532.40481315128	-4623503.8699310385	299.8623361047109	523.8668164318708	1.2002096803521207	95	818.6921172142029	1:02:00
18.4%	460000	919.9999999920686	-4804697.49885829	181291.93105685269	-4623405.567801437	301.1239008304722	523.8668164318708	1.2002096803521207	95	827.9065082073212	1:01:51
18.6%	465000	929.9999999918322	-4804871.16818529	180922.90449895337	-4623948.263686337	300.5109517820678	523.4592603033053	1.2011441423969946	95	836.9893605709076	1:01:42
18.8%	470000	939.9999999915957	-4804005.497752845	180478.8236270805	-4623526.6741257645	299.7733383447626	523.4592603033053	1.2011441423969946	95	846.2154500484467	1:01:34
19.0%	475000	949.9999999913592	-4805587.839087064	180137.94213864626	-4625449.896948418	299.2071379467646	523.70296211587	1.2005851976786546	94.9	855.4080898761749	1:01:25
19.2%	480000	959.9999999911228	-4805246.780798915	181579.2577467175	-4623667.523052197	301.6011472978711	523.4096112239263	1.2012580793587788	94.9	864.5574278831482	1:01:16
19.4%	485000	969.9999999908863	-4805640.207285503	180511.254760785	-4625128.952524718	299.8272061006661	523.3370356897547	1.2014246678874743	94.9	873.7869024276733	1:01:08
19.6%	490000	979.9999999906498	-4805076.582510125	180179.36156034793	-4624897.220949777	299.2759351500391	523.4946350353246	1.2010629760405314	94.9	883.0294106006622	1:00:59
19.8%	495000	989.9999999904134	-4805677.383262361	180602.04992012362	-4625075.333342237	299.97801586035695	523.6990120797778	1.2005942531757114	94.9	892.2283720970154	1:00:50
20.0%	500000	999.9999999901769	-4806828.508824496	180763.02029955082	-4626065.4885249445	300.2453858877415	523.3605486097256	1.2013706917095943	94.8	902.3289034366608	1:00:45
20.2%	505000	1009.9999999899404	-4807226.601476204	180077.8491914918	-4627148.752284712	299.10732422337344	523.4345898390757	1.201200754596828	94.8	911.465767621994	1:00:36
20.4%	510000	1019.999999989704	-4806614.368192924	180028.07169961315	-4626586.296493311	299.0246443575864	522.9791060745576	1.202246929167266	94.8	920.6971988677979	1:00:28
20.6%	515000	1029.9999999894676	-4806748.3997908505	181365.24830266304	-4625383.151488188	301.2456799682852	523.4514047857039	1.2011621681561504	94.8	929.9223942756653	1:00:19
20.8%	520000	1039.9999999892311	-4807444.315773959	180899.18258416458	-4626545.133189795	300.47154994286444	523.6565916977755	1.200691510935199	94.8	939.0323770046234	1:00:10
21.0%	525000	1049.9999999889947	-4805844.835005242	181880.04087168665	-4623964.794133556	302.100744755776	523.2471108550868	1.201631143780765	94.8	948.2292408943176	1:00:01
21.2%	530000	1059.9999999887582	-4806676.4428762635	180737.30323589302	-4625939.13964037	300.2026701282403	522.8645019195999	1.2025104438883112	94.7	957.4695031642914	59:52
21.4%	535000	1069.9999999885217	-4806316.468700229	181048.97541014242	-4625267.493290087	300.72035417707343	522.9558392556957	1.2023004183138222	94.7	966.6845324039459	59:44
21.6%	540000	1079.9999999882853	-4806670.681503337	180469.23474921577	-4626201.446754121	299.75741132423616	523.088249372736	1.2019960781966479	94.7	975.8112585544586	59:34
21.8%	545000	1089.9999999880488	-4807641.27367311	181406.18532409778	-4626235.088349012	301.3136759100293	522.9957831412131	1.2022085924295323	94.7	985.0177528858185	59:26
22.0%	550000	1099.9999999878123	-4807292.751447754	180677.03648697783	-4626615.714960776	300.10256772203877	522.9981676071654	1.2022031112909095	94.6	995.1081855297089	59:20
22.2%	555000	1109.9999999875758	-4807402.328760287	180424.55378023253	-4626977.774980054	299.68319672684794	522.9981676071654	1.2022031112909095	94.6	1004.4509348869324	59:12
22.4%	560000	1119.9999999873394	-4807817.999700243	180283.13019087465	-4627534.869509368	299.4482937024903	522.8993388152272	1.2024303295570913	94.6	1013.5886735916138	59:02
22.6%	565000	1129.999999987103	-4808066.794725195	180942.77958740975	-4627124.015137785	300.5439640851	522.3234486941956	1.2037560746480918	94.6	1022.7841351032257	58:54
22.8%	570000	1139.9999999868664	-4808157.231654969	181293.29497315627	-4626863.936681813	301.126166280431	522.3234486941956	1.2037560746480918	94.6	1032.021704673767	58:45
23.0%	575000	1149.99999998663	-4808551.784422104	180857.4982887206	-4627694.286133383	300.4023127872212	522.2216553033954	1.203990715267243	94.6	1041.1363546848297	58:36
23.2%	580000	1159.9999999863935	-4807887.027474418	181695.93599753603	-4626191.091476882	301.7949485874471	522.227787238328	1.2039765781552283	94.6	1050.3705592155457	58:27
23.4%	585000	1169.999999986157	-4808230.738659601	180551.84663235603	-4627678.892027245	299.8946287522879	521.901851264593	1.2047284806008784	94.6	1059.5885727405548	58:18
23.6%	590000	1179.9999999859206	-4809170.796226892	180057.57494360834	-4629113.221283283	299.07364892092903	521.901851264593	1.2047284806008784	94.6	1068.7128992080688	58:09
23.8%	595000	1189.999999985684	-4808593.310913446	180114.67354168484	-4628478.637371762	299.1684890634799	521.5649520795891	1.2055066618065884	94.6	1077.9101157188416	58:00
24.0%	600000	1199.9999999854476	-4809344.248612932	180176.0621709822	-4629168.18644195	299.27045490064035	521.5649520795891	1.2055066618065884	94.5	1087.9972479343414	57:54
