#"Progress (%)"	"Step"	"Time (ps)"	"Potential Energy (kJ/mole)"	"Kinetic Energy (kJ/mole)"	"Total Energy (kJ/mole)"	"Temperature (K)"	"Box Volume (nm^3)"	"Density (g/mL)"	"Speed (ns/day)"	"Elapsed Time (s)"	"Time Remaining"
0.2%	5000	10.000000000000009	-325396.7862521056	9930.474175634028	-315466.3120764716	312.25100664474945	33.596804267340296	0.9810107356734307	0	0.0008759498596191406	--
0.4%	10000	19.999999999999794	-325698.6315194201	9629.553939410318	-316069.07758000976	302.78895629158694	33.596804267340296	0.9810107356734307	548	1.5774779319763184	13:05
0.6%	15000	29.99999999999425	-326477.07361177105	9788.420770357032	-316688.65284141403	307.7843197564343	33.38937191348016	0.9871052907489231	547	3.15678334236145	13:04
0.8%	20000	40.00000000000292	-327516.023011248	9556.345076525635	-317959.67793472233	300.48699762105844	32.86701914151018	1.0027932721453778	546	4.74339485168457	13:04
1.0%	25000	50.00000000001514	-328656.6410767539	9908.192008281401	-318748.4490684725	311.55037250955814	32.42669728729298	1.0164101936923224	546	6.328685522079468	13:03
1.2%	30000	60.00000000002736	-329578.72249986767	9612.89060680459	-319965.8318930631	302.2649991986858	31.649355379090984	1.0413743116030056	546	7.915370225906372	13:02
1.4%	35000	70.00000000001826	-330415.20629001013	9536.770073627473	-320878.43621638266	299.87148679529923	31.3926390699218	1.0498902496591491	545	9.504738569259644	13:00
1.6%	40000	79.99999999999496	-330482.53463599586	9526.434347165634	-320956.10028883023	299.54649315098436	31.066218599244102	1.0609217071363075	545	11.095042705535889	12:59
1.8%	45000	89.99999999997165	-330783.77717743465	9227.830455527308	-321555.94672190736	290.1572772784046	30.709162045775788	1.0732570827380628	545	12.684312582015991	12:58
2.0%	50000	99.99999999994834	-331212.1731474814	9592.67811618098	-321619.4950313004	301.62944339013177	30.057869184329295	1.096512379785154	543	14.328014612197876	13:00
2.2%	55000	109.99999999992504	-331376.08112693095	9763.47622097871	-321612.60490595223	306.99997043776915	29.874905676637734	1.1032277734136466	542	15.944399118423462	12:59
