zinc_id,gene_name,gene_name,affinity
ZINC000003833846,POL,POL,11.00
ZINC000014908086,POL,POL,11.00
ZINC000014908107,POL,POL,11.00
ZINC000026379548,POL,POL,11.00
ZINC000026730682,POL,POL,11.00
ZINC000027093908,POL,POL,11.00
ZINC000027106208,POL,POL,11.00
ZINC000028360337,POL,POL,11.00
ZINC000028370283,POL,POL,11.00
ZINC000028391567,POL,POL,11.00
ZINC000028391573,POL,POL,11.00
ZINC000095540708,POL,POL,11.00
ZINC000095542530,POL,POL,11.00
ZINC000095542836,POL,POL,11.00
ZINC000095543992,POL,POL,11.00
ZINC000095544660,POL,POL,11.00
ZINC000095606562,POL,POL,11.00
ZINC000095612331,POL,POL,11.00
ZINC000095612513,POL,POL,11.00
ZINC000095613245,POL,POL,11.00
ZINC000026293181,POL,POL,10.96
ZINC000003937184,POL,POL,10.92
ZINC000026577918,POL,POL,10.92
ZINC000027092511,POL,POL,10.89
ZINC000049872014,POL,POL,10.89
ZINC000003955219,POL,POL,10.85
ZINC000029556734,POL,POL,10.85
ZINC000095610403,POL,POL,10.85
ZINC000003944422,POL,POL,10.82
ZINC000003981341,POL,POL,10.82
ZINC000026153831,POL,POL,10.82
ZINC000026153839,POL,POL,10.82
ZINC000026668969,POL,POL,10.82
ZINC000169369641,POL,POL,10.82
ZINC000026479189,POL,POL,10.80
ZINC000026491619,POL,POL,10.80
ZINC000026574908,POL,POL,10.80
ZINC000027406787,POL,POL,10.80
ZINC000027897782,POL,POL,10.80
ZINC000029556151,POL,POL,10.80
ZINC000049776221,POL,POL,10.80
ZINC000049780074,POL,POL,10.80
ZINC000095540528,POL,POL,10.80
ZINC000150526914,POL,POL,10.80
ZINC000003935743,POL,POL,10.74
ZINC000003952171,POL,POL,10.74
ZINC000014908114,POL,POL,10.74
ZINC000014946345,POL,POL,10.74
ZINC000026483067,POL,POL,10.74
ZINC000026485875,POL,POL,10.74
ZINC000026576741,POL,POL,10.74
ZINC000026735836,POL,POL,10.74
ZINC000027410015,POL,POL,10.74
ZINC000027410019,POL,POL,10.74
ZINC000027767645,POL,POL,10.74
ZINC000095540258,POL,POL,10.74
ZINC000100040634,POL,POL,10.74
ZINC000100040638,POL,POL,10.74
ZINC000101003361,POL,POL,10.74
ZINC000014908088,POL,POL,10.70
ZINC000014943327,POL,POL,10.70
ZINC000024636424,POL,POL,10.70
ZINC000026575303,POL,POL,10.70
ZINC000026978541,POL,POL,10.70
ZINC000027093767,POL,POL,10.70
ZINC000027104314,POL,POL,10.70
ZINC000028353444,POL,POL,10.70
ZINC000028353451,POL,POL,10.70
ZINC000028361245,POL,POL,10.70
ZINC000028361252,POL,POL,10.70
ZINC000028365871,POL,POL,10.70
ZINC000028365878,POL,POL,10.70
ZINC000028380709,POL,POL,10.70
ZINC000028380716,POL,POL,10.70
ZINC000095542397,POL,POL,10.70
ZINC000095548345,POL,POL,10.70
ZINC000095610916,POL,POL,10.70
ZINC000095611309,POL,POL,10.70
ZINC000095612837,POL,POL,10.70
ZINC000095614701,POL,POL,10.70
ZINC000150363913,POL,POL,10.70
ZINC000150363951,POL,POL,10.70
ZINC000150363968,POL,POL,10.70
ZINC000169360797,POL,POL,10.70
ZINC000169361922,POL,POL,10.70
ZINC000253861624,POL,POL,10.70
ZINC000253861630,POL,POL,10.70
ZINC000253861636,POL,POL,10.70
ZINC000253975523,POL,POL,10.70
ZINC000253975527,POL,POL,10.70
ZINC000253975530,POL,POL,10.70
ZINC000003935722,POL,POL,10.68
ZINC000026149459,POL,POL,10.68
ZINC000026492729,POL,POL,10.68
ZINC000026492111,POL,POL,10.66
ZINC000003937183,POL,POL,10.64
ZINC000026577919,POL,POL,10.64
ZINC000026578386,POL,POL,10.62
ZINC000027331227,POL,POL,10.62
ZINC000085548773,POL,POL,10.62
ZINC000026475925,POL,POL,10.60
ZINC000029562959,POL,POL,10.60
ZINC000095544640,POL,POL,10.60
ZINC000150526926,POL,POL,10.59
ZINC000003937353,POL,POL,10.57
ZINC000026481310,POL,POL,10.57
ZINC000085548877,POL,POL,10.57
ZINC000095544659,POL,POL,10.57
ZINC000026493348,POL,POL,10.55
ZINC000026481469,POL,POL,10.54
ZINC000003923077,POL,POL,10.52
ZINC000003935759,POL,POL,10.52
ZINC000003951095,POL,POL,10.52
ZINC000006148171,POL,POL,10.52
ZINC000014942891,POL,POL,10.52
ZINC000014942893,POL,POL,10.52
ZINC000014942894,POL,POL,10.52
ZINC000014943308,POL,POL,10.52
ZINC000026480072,POL,POL,10.52
ZINC000026576646,POL,POL,10.52
ZINC000026576648,POL,POL,10.52
ZINC000026666761,POL,POL,10.52
ZINC000026668974,POL,POL,10.52
ZINC000026986787,POL,POL,10.52
ZINC000027072791,POL,POL,10.52
ZINC000027105501,POL,POL,10.52
ZINC000027983129,POL,POL,10.52
ZINC000027983135,POL,POL,10.52
ZINC000029241804,POL,POL,10.52
ZINC000029486080,POL,POL,10.52
ZINC000029486745,POL,POL,10.52
ZINC000038155902,POL,POL,10.52
ZINC000095543442,POL,POL,10.52
ZINC000095548319,POL,POL,10.52
ZINC000095608801,POL,POL,10.52
ZINC000095610779,POL,POL,10.52
ZINC000095614801,POL,POL,10.52
ZINC000100769671,POL,POL,10.52
ZINC000150363867,POL,POL,10.52
ZINC000254058082,POL,POL,10.52
ZINC000254058084,POL,POL,10.52
ZINC000299808613,POL,POL,10.52
ZINC000299808614,POL,POL,10.52
ZINC000299808615,POL,POL,10.52
ZINC000003935723,POL,POL,10.51
ZINC000003936474,POL,POL,10.51
ZINC000026162491,POL,POL,10.51
ZINC000026167193,POL,POL,10.51
ZINC000014951382,POL,POL,10.49
ZINC000100040630,POL,POL,10.49
ZINC000029558228,POL,POL,10.48
ZINC000026375723,POL,POL,10.47
ZINC000026486962,POL,POL,10.47
ZINC000003937352,POL,POL,10.46
