#"Progress (%)"	"Step"	"Time (ps)"	"Potential Energy (kJ/mole)"	"Kinetic Energy (kJ/mole)"	"Total Energy (kJ/mole)"	"Temperature (K)"	"Box Volume (nm^3)"	"Density (g/mL)"	"Speed (ns/day)"	"Elapsed Time (s)"	"Time Remaining"
0.4%	1000	100004.00001853849	-232097.38914389402	43639.644888347866	-188457.74425554616	301.6371164072737	171.3066809947516	1.0122971925951483	0	0.0009701251983642578	--
0.8%	2000	100008.0000185393	-232468.3216782416	42845.35949924894	-189622.96217899266	296.1470177828415	171.3066809947516	1.0122971925951483	306	1.1277129650115967	4:39
1.2%	3000	100012.00001854011	-231417.6348982813	44134.56836625068	-187283.06653203064	305.0580262496616	171.3066809947516	1.0122971925951483	314	2.2019190788269043	4:31
1.6%	4000	100016.00001854093	-232604.20162601094	43061.231007112256	-189542.9706188987	297.63912110570254	171.3066809947516	1.0122971925951483	314	3.3033485412597656	4:30
2.0%	5000	100020.00001854174	-231633.87107428582	43241.93149851077	-188391.93957577506	298.8881224506557	171.3066809947516	1.0122971925951483	314	4.398676872253418	4:29
2.4%	6000	100024.00001854256	-231580.60968923976	43605.0661504576	-187975.54353878216	301.3981082573928	171.3066809947516	1.0122971925951483	314	5.498509407043457	4:28
2.8%	7000	100028.00001854337	-231553.36031837313	43556.9812333392	-187996.37908503393	301.0657454304407	171.3066809947516	1.0122971925951483	315	6.589777946472168	4:26
3.2%	8000	100032.00001854419	-232068.8173189552	43380.53512494348	-188688.28219401173	299.8461503701707	171.3066809947516	1.0122971925951483	314	7.698049306869507	4:26
3.6%	9000	100036.000018545	-231838.3610407682	43942.53060838036	-187895.83043238785	303.7306617471886	171.3066809947516	1.0122971925951483	315	8.77705717086792	4:24
4.0%	10000	100040.00001854582	-231231.57542970532	43285.38079067041	-187946.19463903492	299.18844384947784	171.3066809947516	1.0122971925951483	314	9.903096675872803	4:24
4.4%	11000	100044.00001854663	-232460.9605724375	42807.487428642205	-189653.4731437953	295.88524612545484	171.3066809947516	1.0122971925951483	314	11.013040781021118	4:23
4.8%	12000	100048.00001854745	-232280.29841311212	43568.60558922812	-188711.692823884	301.14609294929426	171.3066809947516	1.0122971925951483	314	12.109543561935425	4:22
5.2%	13000	100052.00001854826	-232593.9720332428	42979.263096698705	-189614.7089365441	297.07255911377223	171.3066809947516	1.0122971925951483	314	13.205911874771118	4:20
5.6%	14000	100056.00001854908	-232620.95883220923	43260.11327105905	-189360.84556115017	299.01379481707085	171.3066809947516	1.0122971925951483	314	14.309373378753662	4:19
6.0%	15000	100060.0000185499	-231625.8610913098	43863.20515091924	-187762.65594039057	303.1823643834617	171.3066809947516	1.0122971925951483	314	15.395408391952515	4:18
6.4%	16000	100064.00001855071	-231949.89140592632	42719.76514028664	-189230.12626563967	295.27890988757025	171.3066809947516	1.0122971925951483	314	16.50884509086609	4:17
6.8%	17000	100068.00001855152	-231401.19864295702	43567.96706537552	-187833.2315775815	301.14167947402075	171.3066809947516	1.0122971925951483	314	17.59625482559204	4:16
7.2%	18000	100072.00001855234	-232809.4530919937	43312.237420334866	-189497.21567165884	299.3740768066005	171.3066809947516	1.0122971925951483	314	18.69552993774414	4:15
7.6%	19000	100076.00001855315	-231495.05002266943	42696.387090177894	-188798.66293249154	295.1173208636433	171.3066809947516	1.0122971925951483	314	19.799164295196533	4:14
8.0%	20000	100080.00001855397	-231995.44711601955	43067.90282629584	-188927.5442897237	297.6852367032257	171.3066809947516	1.0122971925951483	314	20.904198169708252	4:13
8.4%	21000	100084.00001855478	-232997.3559866231	43163.581792260025	-189833.77419436307	298.3465694768564	171.3066809947516	1.0122971925951483	314	22.014991283416748	4:12
8.8%	22000	100088.0000185556	-232565.10462442006	43443.37582121088	-189121.72880320917	300.2805051057241	170.3182164143	1.0181721949339286	314	23.119991064071655	4:11
9.2%	23000	100092.00001855641	-233302.1255510999	44047.75297055961	-189254.37258054028	304.4579584516076	170.3182164143	1.0181721949339286	314	24.205057382583618	4:09
9.6%	24000	100096.00001855723	-232072.65377332806	43437.04979720673	-188635.60397612132	300.2367796436169	170.3182164143	1.0181721949339286	314	25.32731533050537	4:08
10.0%	25000	100100.00001855804	-232708.05246726982	43422.06508320491	-189285.9873840649	300.133205337885	170.42982206640713	1.0175054467651212	314	26.405706882476807	4:07
10.4%	26000	100104.00001855886	-231506.46752273722	43443.82906089881	-188062.63846183842	300.28363789731435	170.89668952175265	1.0147257546595525	314	27.506158113479614	4:06
10.8%	27000	100108.00001855967	-231835.43834564963	43601.18967068529	-188234.24867496433	301.37131403889447	171.1760646152431	1.013069628826701	314	28.602609157562256	4:05
11.2%	28000	100112.00001856049	-232818.97318073234	43440.23878024987	-189378.73440048247	300.25882188644147	171.1760646152431	1.013069628826701	314	29.70046377182007	4:04
11.6%	29000	100116.0000185613	-232087.88115572953	42892.335865686444	-189195.54529004308	296.4717183102576	171.70297625397052	1.0099607824344257	314	30.785736799240112	4:02
12.0%	30000	100120.00001856212	-232500.4560692911	43844.166899830016	-188656.2891694611	303.05077203951197	171.70297625397052	1.0099607824344257	314	31.90151810646057	4:02
12.4%	31000	100124.00001856293	-231663.44264993002	43619.24676231922	-188044.19588761078	301.49612461114117	171.70297625397052	1.0099607824344257	314	33.007718086242676	4:00
