#"Progress (%)"	"Step"	"Time (ps)"	"Potential Energy (kJ/mole)"	"Kinetic Energy (kJ/mole)"	"Total Energy (kJ/mole)"	"Temperature (K)"	"Box Volume (nm^3)"	"Density (g/mL)"	"Speed (ns/day)"	"Elapsed Time (s)"	"Time Remaining"
0.0%	1000	4.000000000000003	-232996.78972556628	41794.55789648706	-191202.23182907922	288.8838797306374	180.24419108146833	0.9621018641615966	0	0.0009853839874267578	--
0.0%	2000	7.999999999999562	-229906.5721002177	43795.96942362132	-186110.60267659638	302.71763120440903	178.86944096157757	0.9694963617683028	306	1.1309583187103271	7:51:07
0.0%	3000	11.999999999999122	-230648.84425858682	43436.29659677363	-187212.54766181318	300.23157352410567	178.22101178762892	0.9730237220873923	309	2.239623785018921	7:46:30
0.0%	4000	15.999999999998682	-230294.27036491607	43591.51173599266	-186702.75862892342	301.3044201784854	178.22101178762892	0.9730237220873923	309	3.3511228561401367	7:45:20
0.0%	5000	20.000000000000018	-229235.90350442682	43173.39163440765	-186062.51187001917	298.4143750812647	178.22101178762892	0.9730237220873923	308	4.4951817989349365	7:48:08
0.0%	6000	24.000000000001354	-229382.76223239698	43933.49736452504	-185449.26486787194	303.66822398823587	178.22101178762892	0.9730237220873923	308	5.60760760307312	7:47:10
0.0%	7000	28.00000000000269	-229471.57224868005	43661.47887975157	-185810.09336892847	301.7880329012902	178.22101178762892	0.9730237220873923	307	6.743738651275635	7:48:10
0.0%	8000	32.00000000000402	-229669.3433674571	43632.868679601765	-186036.47468785534	301.5902792693552	178.22101178762892	0.9730237220873923	307	7.869013786315918	7:48:14
0.0%	9000	36.000000000001805	-229350.42669110245	43619.88781499765	-185730.5388761048	301.5005555656524	178.22101178762892	0.9730237220873923	307	8.992672204971313	7:48:11
0.0%	10000	39.99999999999959	-230038.83351172588	43292.219056754744	-186746.61445497113	299.2357099275631	178.22101178762892	0.9730237220873923	307	10.133936166763306	7:48:58
0.0%	11000	43.99999999999737	-229070.06954423257	43196.9230585151	-185873.14648571747	298.57702422588744	177.34555972968002	0.9778269752459878	307	11.27004861831665	7:49:22
0.0%	12000	47.999999999995154	-230567.27066624042	43381.60267485988	-187185.66799138056	299.85352927252484	177.0577545709835	0.9794164207264769	307	12.395908117294312	7:49:18
0.1%	13000	51.99999999999294	-229934.3106159513	43322.02986339588	-186612.28075255544	299.44176214856566	177.0577545709835	0.9794164207264769	306	13.544087648391724	7:50:01
0.1%	14000	55.99999999999072	-229642.43988030462	43466.6590671222	-186175.7808131824	300.4414388432753	176.94482554411195	0.9800415000016384	306	14.665116548538208	7:49:46
0.1%	15000	59.9999999999885	-230109.92988286132	43714.895954841566	-186395.03392801975	302.15725159081626	176.94482554411195	0.9800415000016384	306	15.799347877502441	7:49:55
0.1%	16000	63.99999999998629	-229839.5110215908	43197.80632327551	-186641.7046983153	298.58312934970394	175.74356890503424	0.9867403588320562	306	16.94873356819153	7:50:29
0.1%	17000	67.99999999999118	-230231.18672917166	43336.17588912246	-186895.0108400492	299.5395394430351	175.74356890503424	0.9867403588320562	306	18.077908039093018	7:50:27
0.1%	18000	71.99999999999606	-231416.6507119831	43540.445479305636	-187876.20523267746	300.95145033988564	175.74356890503424	0.9867403588320562	306	19.199389457702637	7:50:13
0.1%	19000	76.00000000000095	-230212.8025150124	44415.439921504505	-185797.3625935079	306.99940973764257	175.74356890503424	0.9867403588320562	306	20.35013508796692	7:50:42
0.1%	20000	80.00000000000584	-230493.94481674628	42979.72700093236	-187514.21781581393	297.075765618676	174.71962563087197	0.9925231445387126	306	21.45998477935791	7:50:14
0.1%	21000	84.00000000001073	-230765.10596864432	43803.78196413006	-186961.32400451426	302.7716314648809	174.71962563087197	0.9925231445387126	305	22.631980657577515	7:51:06
0.1%	22000	88.00000000001562	-231977.43966560403	43823.70835377917	-188153.73131182487	302.90936262033705	174.71962563087197	0.9925231445387126	305	23.7657732963562	7:51:07
0.1%	23000	92.0000000000205	-230935.9669879414	43419.69623739926	-187516.27075054217	300.1168318815964	174.71962563087197	0.9925231445387126	305	24.89564299583435	7:51:04
0.1%	24000	96.0000000000254	-231535.42254219996	43086.14255578368	-188449.27998641628	297.8113096678623	174.67067635222924	0.9928012867717192	305	26.037807941436768	7:51:14
0.1%	25000	100.00000000003028	-230836.67655416008	43843.9984679268	-186992.67808623327	303.04960783861793	174.67067635222924	0.9928012867717192	305	27.173056840896606	7:51:16
0.1%	26000	104.00000000003517	-230679.8176158556	42638.90503270294	-188040.91258315265	294.7200050260313	174.67067635222924	0.9928012867717192	305	28.315247297286987	7:51:25
0.1%	27000	108.00000000004006	-230218.86204874213	43658.77666269623	-186560.0853860459	301.7693551837569	173.91375548108937	0.9971222331670935	305	29.45808243751526	7:51:34
0.1%	28000	112.00000000004495	-230367.48112928908	43381.1895555911	-186986.291573698	299.8506737931715	173.91375548108937	0.9971222331670935	305	30.58208990097046	7:51:24
0.1%	29000	116.00000000004984	-231503.95319083612	43639.543843038824	-187864.4093477973	301.63641798235017	173.91375548108937	0.9971222331670935	305	31.725343942642212	7:51:33
0.1%	30000	120.00000000005473	-230724.03617804882	43413.54047488462	-187310.4957031642	300.07428326647926	173.91375548108937	0.9971222331670935	305	32.87770915031433	7:51:48
0.1%	31000	124.00000000005961	-229746.69919457764	43135.10050970837	-186611.59868486927	298.1497069230377	173.91375548108937	0.9971222331670935	305	34.02863788604736	7:52:01
0.1%	32000	128.0000000000645	-230919.40476581338	43616.656539482094	-187302.74822633128	301.4782209973643	173.91375548108937	0.9971222331670935	305	35.17678618431091	7:52:11
0.1%	33000	132.00000000005517	-231444.81571832683	43163.56108216162	-188281.25463616522	298.34642632870793	173.4812039922797	0.9996084201231217	304	36.324384927749634	7:52:20
0.1%	34000	136.00000000004584	-230871.66732026095	43202.32227168797	-187669.34504857298	298.61434357384496	173.4812039922797	0.9996084201231217	304	37.460105657577515	7:52:20
0.1%	35000	140.00000000003652	-231243.7871678669	43512.28050513526	-187731.50666273164	300.75677410880786	173.4812039922797	0.9996084201231217	304	38.61022686958313	7:52:30
0.1%	36000	144.0000000000272	-231507.22618561983	42755.992095285364	-188751.23409033447	295.5293105099857	173.4812039922797	0.9996084201231217	304	39.75578284263611	7:52:35
0.1%	37000	148.00000000001788	-231675.5861108976	43596.64502823224	-188078.94108266535	301.33990148161655	173.4812039922797	0.9996084201231217	304	40.896310567855835	7:52:38
0.2%	38000	152.00000000000855	-231601.74491833133	43415.43688902365	-188186.3080293077	300.0873912762688	173.4812039922797	0.9996084201231217	304	42.050901651382446	7:52:49
0.2%	39000	155.99999999999923	-231093.6301237942	43292.44405983834	-187801.18606395586	299.2372651483146	173.4812039922797	0.9996084201231217	304	43.1833975315094	7:52:45
0.2%	40000	159.9999999999899	-231125.37364793208	43388.18250182909	-187737.191146103	299.8990090200922	173.4812039922797	0.9996084201231217	304	44.3204185962677	7:52:44
0.2%	41000	163.9999999999806	-231784.36242065678	43628.11246770137	-188156.2499529554	301.55740434458613	173.4812039922797	0.9996084201231217	304	45.498265504837036	7:53:09
0.2%	42000	167.99999999997127	-231753.61842108198	43793.96519669464	-187959.65322438732	302.70377799290065	173.4812039922797	0.9996084201231217	304	46.60762858390808	7:52:51
0.2%	43000	171.99999999996194	-230687.9836278552	43668.75452343929	-187019.22910441592	301.83832213227697	173.4812039922797	0.9996084201231217	304	47.75914454460144	7:52:59
0.2%	44000	175.99999999995262	-231575.203820538	43386.49902825122	-188188.7047922868	299.8873728549292	173.4812039922797	0.9996084201231217	304	48.88264799118042	7:52:50
0.2%	45000	179.9999999999433	-231637.81631679297	43823.95945958787	-187813.8568572051	302.9110982630592	173.4812039922797	0.9996084201231217	304	50.00896906852722	7:52:42
0.2%	46000	183.99999999993398	-231523.46894260315	43262.56176256912	-188260.90718003403	299.0307187842694	173.34390900098728	1.000400148140146	304	51.186588764190674	7:53:04
0.2%	47000	187.99999999992465	-232228.0463917997	43079.84723369524	-189148.19915810446	297.76779641731986	173.34390900098728	1.000400148140146	304	52.32185697555542	7:53:02
0.2%	48000	191.99999999991533	-231205.2724275865	43387.11009820541	-187818.16232938107	299.8915965689254	173.34390900098728	1.000400148140146	304	53.458882570266724	7:53:00
0.2%	49000	195.999999999906	-231421.96064738045	43365.252641280225	-188056.7080061002	299.74051788128304	173.69258070671876	0.9983919378605428	304	54.613377809524536	7:53:08
0.2%	50000	199.9999999998967	-231245.70626666362	43322.63052161624	-187923.0757450474	299.44591389668363	173.40347475580558	1.0000565011052283	304	55.75046420097351	7:53:07
0.2%	51000	203.99999999988736	-232256.19852778898	43458.897621275915	-188797.30090651306	300.38779174898264	172.70848932878295	1.0040807659063884	304	56.90194916725159	7:53:12
0.2%	52000	207.99999999987804	-231828.28795479645	42614.50923352953	-189213.77872126692	294.5513813231129	172.70848932878295	1.0040807659063884	304	58.04933261871338	7:53:16
0.2%	53000	211.99999999986872	-231258.69921716035	42962.38119467874	-188296.3180224816	296.95587144920023	172.70848932878295	1.0040807659063884	304	59.18443989753723	7:53:13
0.2%	54000	215.9999999998594	-230465.67078244267	42422.18304857479	-188043.4877338679	293.22202321335317	172.82018634100584	1.0034318091846262	304	60.321614503860474	7:53:12
0.2%	55000	219.99999999985008	-231355.58784373396	43390.494021313505	-187965.09382242046	299.9149862369917	172.7192751524855	1.0040180639403535	304	61.47125864028931	7:53:16
0.2%	56000	223.99999999984075	-232153.52466225182	43394.19733257832	-188759.3273296735	299.940583515199	171.83736628455304	1.0091709154609425	303	62.632691860198975	7:53:25
0.2%	57000	227.99999999983143	-231298.96357927128	43708.166273176445	-187590.79730609484	302.11073604796525	171.83736628455304	1.0091709154609425	303	63.78867173194885	7:53:32
0.2%	58000	231.9999999998221	-231293.46667055495	43613.187142682735	-187680.27952787222	301.4542405353576	172.05170839115996	1.0079136898165766	303	64.92582058906555	7:53:30
0.2%	59000	235.9999999998128	-231546.07066123257	43054.40259988978	-188491.6680613428	297.5919231720458	172.05170839115996	1.0079136898165766	303	66.0700261592865	7:53:31
0.2%	60000	239.99999999980346	-231988.6060140729	43547.25180799298	-188441.3542060799	300.99849566676266	172.05170839115996	1.0079136898165766	303	67.22130370140076	7:53:35
0.2%	61000	243.99999999979414	-232571.75486065575	43603.27939419938	-188968.47546645638	301.3857582026013	172.05170839115996	1.0079136898165766	303	68.38613152503967	7:53:44
0.2%	62000	247.99999999978482	-231281.22121069033	43328.08822649141	-187953.13298419892	299.48363753914134	172.05170839115996	1.0079136898165766	303	69.5176031589508	7:53:40
0.3%	63000	251.9999999997755	-231693.21439464204	42936.45743868927	-188756.75695595276	296.7766865125878	171.4474002240368	1.011466327381891	303	70.68447017669678	7:53:49
0.3%	64000	255.99999999976617	-231771.56914952456	43454.772507504094	-188316.79664202046	300.359278972901	171.4474002240368	1.011466327381891	303	71.82495141029358	7:53:48
0.3%	65000	259.99999999978525	-231690.03066361794	43662.50987423211	-188027.52078938583	301.79515913256313	171.4474002240368	1.011466327381891	303	72.9628849029541	7:53:46
0.3%	66000	263.99999999980434	-231402.49452427856	43426.1565053983	-187976.33801888025	300.16148523786075	171.4474002240368	1.011466327381891	303	74.13432455062866	7:53:57
0.3%	67000	267.99999999982344	-231891.72853409534	43858.564769606724	-188033.16376448862	303.15029007942644	171.24378178903447	1.0126690174211286	303	75.28246331214905	7:53:59
0.3%	68000	271.99999999984254	-232374.03815712902	42363.66360254874	-190010.37455458028	292.8175369486686	171.24378178903447	1.0126690174211286	303	76.44793033599854	7:54:07
0.3%	69000	275.99999999986164	-232469.56066534	43494.15688851128	-188975.40377682872	300.63150371599613	171.24378178903447	1.0126690174211286	303	77.58129811286926	7:54:03
0.3%	70000	279.99999999988074	-232228.4235070414	43473.96607683337	-188754.45743020804	300.4919448761378	171.24378178903447	1.0126690174211286	303	78.71476197242737	7:53:59
0.3%	71000	283.99999999989984	-232239.08292087342	43362.23598076922	-188876.8469401042	299.71966673137	171.24378178903447	1.0126690174211286	303	79.89896059036255	7:54:14
0.3%	72000	287.99999999991894	-232036.11958633142	43546.04061079859	-188490.07897553284	300.99012387478206	171.24378178903447	1.0126690174211286	303	81.04338097572327	7:54:14
0.3%	73000	291.99999999993804	-232069.82128432998	43576.93352370532	-188492.88776062467	301.20365561158803	171.24378178903447	1.0126690174211286	303	82.17955017089844	7:54:11
0.3%	74000	295.99999999995714	-231361.44579208398	42993.21619111347	-188368.22960097052	297.16900286749654	171.24378178903447	1.0126690174211286	303	83.34195971488953	7:54:17
0.3%	75000	299.99999999997624	-232895.71848054323	43282.0637065715	-189613.65477397174	299.16551617247603	171.24378178903447	1.0126690174211286	303	84.47842121124268	7:54:14
0.3%	76000	303.99999999999534	-231948.13282902376	43794.653252124685	-188153.4795768991	302.7085338303136	171.24378178903447	1.0126690174211286	303	85.6269040107727	7:54:15
0.3%	77000	308.00000000001444	-232056.15111151047	43367.59701616035	-188688.55409535012	299.7567221945956	171.24378178903447	1.0126690174211286	303	86.7777807712555	7:54:17
